2020-04-01T15:29:40.197+1100 |[main]| INFO | Log | invoking baseclass constructor
2020-04-01T15:29:40.428+1100 |[main]| INFO | Log | lauching chrome driver
2020-04-01T15:30:36.226+1100 |[main]| INFO | Log | invoking baseclass constructor
2020-04-01T15:30:36.399+1100 |[main]| INFO | Log | lauching chrome driver
2020-04-01T15:32:42.370+1100 |[main]| INFO | Log | invoking baseclass constructor
2020-04-01T15:32:42.594+1100 |[main]| INFO | Log | lauching chrome driver
2020-04-01T15:36:15.442+1100 |[main]| INFO | Log | invoking baseclass constructor
2020-04-01T15:36:15.658+1100 |[main]| INFO | Log | lauching chrome driver
2020-04-01T15:36:20.428+1100 |[main]| INFO | Log | Launching adactin hotel web page in chrome browser
2020-04-01T15:36:32.616+1100 |[main]| INFO | Log | invoking baseclass constructor
2020-04-01T15:36:32.630+1100 |[main]| INFO | Log | invoking baseclass constructor
2020-04-01T15:40:40.905+1100 |[main]| INFO | Log | invoking baseclass constructor
2020-04-01T15:40:41.109+1100 |[main]| INFO | Log | lauching chrome driver
2020-04-01T15:40:44.766+1100 |[main]| INFO | Log | Launching adactin hotel web page in chrome browser
2020-04-01T15:41:01.385+1100 |[main]| INFO | Log | invoking baseclass constructor
2020-04-01T15:41:01.440+1100 |[main]| INFO | Log | invoking baseclass constructor
